LOCATION_NAME,TSN,X_COORD,Y_COORD,EFA_ID,PHONE,ADDRESS,FACILITIES,ACCESS,TRANSPORT
Berowra Station,208110,151.1529711,-33.6236572,Coach1131,02 9847 8496,"Pacific Hwy, Berowra",2001|2002|2003|2004|2006|2015|2008|2009|2010,3001|3003|3005|3006|3008|3009|3011|3017,Train|Bus
Berry Station,253510,150.6969659,-34.78033267,Coach1388,02 4464 1022,"Station Rd, Berry",2002|2003|2004|2006|2017|2008|2009|2010,3001|3003|3004|3009|3011,Train|Bus|Taxi rank
Beverly Hills Station,220910,151.0816922,-33.94884857,Coach1413,02 9563 7650,"Morgan St, Beverly Hills",2003|2004|2005|2006|2015|2008|2011|2013,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Bexley North Station,220720,151.1133973,-33.93756601,Coach1411,02 9563 7613,"Kingsgrove Ave, Bexley North",2003|2004|2005|2006|2015|2008,3003|3008|3010|3011,Train|Bus
Birrong Station,214320,151.0240413,-33.8932786,Coach1403,02 9379 7727,"Rodd St, Birrong",2003|2004|2005|2006|2015|2008|2009|2011,3003|3008|3009|3010|3011,Train
Blackheath Station,278510,150.284345,-33.63288104,Coach1270,02 4780 3992 ,"Railway Pde, Blackheath",2001|2002|2003|2004|2005|2006|2017|2008|2009|2010,3004|3008|3009|3010|3011,Train|Bus|Taxi rank
Blacktown Station,214810,150.9075105,-33.76822903,Coach1235,02 9851 7212,"Main St, Blacktown",2001|2002|2016|2003|2004|2005|2006|2015|2008|2009|2010|2011,3001|3002|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Blaxland Station,277410,150.6095957,-33.74357659,Coach1256,02 4739 1620,"Station St, Blaxland",2001|2002|2003|2004|2006|2015|2008|2009|2010|2011,3001|3003|3005|3008|3009|3011|3017,Train|Bus|Taxi rank
Bomaderry Station,254110,150.6098088,-34.85377666,Coach1389,02 4423 0141,"Meroo St, Bomaderry",2001|2002|2003|2004|2006|2015|2008|2009|2011|2013,3001|3003|3009|3011,Train|Bus|Taxi rank
Bombo Station,253320,150.8539755,-34.6580285,Coach1385,02 4223 5613,"Princes Hwy, Bombo",2003|2004|2006|2017|2009,3001|3008|3009|3011,Train|Taxi rank
Bondi Junction Station,202210,151.2483843,-33.89120228,Coach1109,02 9379 4843,"Grafton St, Bondi Junction",2001|2002|2003|2004|2006|2015|2008|2009|2010|2012|2013,3001|3002|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Booragul Station,228410,151.6046902,-32.97142254,Coach1152,02 4962 9437,"Station St, Booragul",2004|2017|2009,3008|3010|3011|3016,Train
Bowral Station,257610,150.4166585,-34.47812317,Coach1306,02 4861 2045,"Station St, Bowral",2002|2003|2004|2005|2006|2015|2008|2009|2011|2013,3001|3003|3005|3008|3009|3011,Train|Bus|Taxi rank
Branxton Station,233510,151.3456449,-32.66225215,Coach1189,02 6543 1018,"Railway St, Branxton",2003|2004|2017,3008|3010|3011|3020,Train
Broadmeadow Station,229210,151.734686,-32.92301689,Coach1160,02 4962 9122,"Graham Rd, Broadmeadow",2002|2003|2004|2005|2006|2015|2008|2009|2010|2011,3003|3008|3010|3011|3017,Train|Coach|Bus|Taxi rank
Bullaburra Station,278410,150.4146074,-33.72360616,Coach1265,02 4759 1052,"Great Western Hwy, Bullaburra",2003|2004|2006|2017,3008|3010|3011|3017,Train|Bus
Bulli Station,251610,150.9147439,-34.33448098,Coach1365,02 4223 5577,"Railway St, Bulli",2002|2003|2004|2005|2006|2017|2008|2009|2010|2011,3001|3005|3011,Train|Bus|Taxi rank
Bundanoon Station,257810,150.2987371,-34.65613474,Coach1310,02 4868 1115,"Railway Ave, Bundanoon",2003|2004|2017|2008|2009|2011,3004|3010|3011,Train|Bus
Burradoo Station,257620,150.3983388,-34.49401919,Coach1307,02 4861 2045,"Station St, Burradoo",2004|2006|2017|2009,3004|3010|3011|3015,Train
Burwood Station,213410,151.1047622,-33.87731465,Coach1207,02 9752 8734,"Railway Pde, Burwood",2004|2005|2006|2015|2008|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Cabramatta Station,216620,150.9388206,-33.89486655,Coach1287,02 9765 1234,"Railway Pde, Cabramatta",2003|2004|2005|2006|2015|2008|2009|2011|2013,3001|3003|3005|3006|3009|3011,Train|Bus|Taxi rank
Camellia Station,214210,151.0243009,-33.81873435,Coach1222,02 9848 9212,"Grand Ave, North Camellia",2003|2004|2005|2006|2017|2010,3003|3004|3010|3011,Train
Campbelltown Station,256020,150.813929,-34.06383549,Coach1296,02 4629 0721,"Hurley St, Campbelltown",2001|2002|2016|2003|2004|2005|2006|2015|2008|2009|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Campsie Station,219410,151.1026308,-33.91048116,Coach1396,02 9718 3020,"Beamish St, Campsie",2002|2003|2004|2005|2006|2015|2008|2009|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Canley Vale Station,216610,150.943987,-33.88679793,Coach1286,02 9765 1102,"Railway Pde, Canley Vale",2003|2004|2005|2015|2008|2009,3006|3008|3010|3011,Train|Bus
Canterbury Station,219320,151.1182133,-33.91167214,Coach1395,02 9563 7678,"Canterbury Rd, Canterbury",2001|2002|2004|2005|2006|2015|2008,3003|3008|3009|3010|3011,Train|Bus
Cardiff Station,228520,151.6629801,-32.94182388,Coach1157,02 4962 9437,"Main Rd, Cardiff",2002|2003|2004|2005|2006|2015|2009|2011,3001|3003|3005|3008|3009|3011,Train|Bus|Taxi rank
Caringbah Station,222910,151.1227476,-34.04161039,Coach1349,02 9522 1249,"The Kingsway, Caringbah",2004|2006|2015|2008|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Carlingford Station,211810,151.0470507,-33.78220108,Coach1226,02 9848 9025,"Lloyds Ave, Carlingford",2003|2004|2005|2006|2017|2008|2009|2011,3001|3003|3009|3011,Train|Bus
Carlton Station,221810,151.1243369,-33.96826632,Coach1337,02 9563 7612,"Railway Pde, Carlton",2004|2005|2006|2015|2008|2009|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Carramar Station,216330,150.9615486,-33.88431779,Coach1408,02 9765 1168,"Wattle Ave, Carramar",2003|2004|2005|2006|2015|2008|2009,3003|3008|3009|3010|3011,Train
Casula Station,217030,150.911946,-33.94981838,Coach1290,02 9765 1655,"Rushton Pl, Casula",2003|2004|2017|2009,3001|3005|3006|3008|3009|3011,Train
Central Station,200060,151.2058293,-33.88388163,Coach1100,02 9379 1777,"Eddy Ave, Haymarket",2004|2005|2006|2015|2008|2009|2010|2012|2013,3001|3002|3003|3005|3006|3008|3009|3011,Train|Bus|Light Rail|Taxi rank
Chatswood Station,206710,151.1808207,-33.79713406,Coach1117,02 9379 3311,"Cnr Railway St & Victoria Ave, Chatswood",2001|2002|2004|2005|2006|2015|2008|2010|2012|2013,3001|3002|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Cheltenham Station,211920,151.0788513,-33.75586837,Coach1198,02 9847 8417,"Sutherland Rd, Cheltenham",2002|2003|2004|2005|2006|2015|2008|2009,3003|3008|3009|3010|3011,Train
Chester Hill Station,216220,150.9994456,-33.8835435,Coach1405,02 9379 7703,"Chester Hill Rd, Chester Hill",2002|2004|2005|2006|2015|2008,3003|3008|3010|3011,Train|Bus|Taxi rank
Circular Quay,200020,151.2103898,-33.86132358,Coach1103,02 9224 3553,"Alfred St, Sydney",2004|2005|2006|2015|2008|2010|2012,3001|3002|3003|3005|3006|3008|3009|3011,Train|Bus|Ferry|Taxi rank
Clarendon Station,275630,150.7885628,-33.60895245,Coach1243,02 9851 7249,"Racecourse Rd, Clarendon",2003|2004|2005|2006|2017|2008|2009|2010|2011,3003|3004|3006|3008|3010|3011,Train
Clyde Station,214230,151.0174895,-33.83628176,Coach1220,02 9848 9212,"Berry St, Clyde",2004|2005|2006|2015|2008,3003|3005|3006|3008|3010|3011,Train
Coalcliff Station,250850,150.9772427,-34.24225043,Coach1359,02 4223 5569,"Lawrence Hargrave Dr, Coalcliff",2003|2004|2006|2017|2008,3008|3010|3011,Train|Bus
Cockle Creek Station,228430,151.6233813,-32.94270992,Coach1155,02 4962 9437,"Lake Rd, Cockle Creek",2003|2004|2017,3008|3010|3011|3016,Train|Bus
Coledale Station,251530,150.9433353,-34.28938913,Coach1423,02 4223 5573,"Cater St, Coledale",2003|2004|2017|2008,3008|3010|3011|3017,Train|Taxi rank
Como Station,222610,151.0679988,-34.00426616,Coach1343,02 9522 1244,"Como Pde, Como",2001|2002|2003|2004|2006|2015|2008|2009,3003|3008|3009|3010|3011,Train
Concord West Station,213810,151.0856262,-33.84873998,Coach1204,02 9752 8421,"Queen St, Concord West",2004|2005|2006|2015|2008|2009|2010|2011|2013,3001|3003|3005|3008|3011,Train
Coniston Station,250030,150.8855292,-34.43745489,Coach1373,02 4223 5529,"Gladstone Ave, Coniston",2001|2002|2003|2004|2006|2017|2008|2009|2010,3010|3011,Train|Bus|Taxi rank
Corrimal Station,251820,150.9049716,-34.37572692,Coach1368,02 4223 5580,"Murray Rd, Corrimal",2001|2002|2003|2004|2005|2006|2017|2008|2009|2010,3001|3004|3009|3011,Train|Taxi rank
Cowan Station,208120,151.1717177,-33.59310763,Coach1132,02 9847 8496,"Pacific Hwy, Cowan",2003|2004|2006|2017|2008,3001|3004|3009|3011|3016,Train
Cringila Station,250520,150.8784228,-34.46717554,Coach1375,02 4223 5694,"Five Islands Rd, Cringila",2002|2003|2004|2006|2017|2008,3008|3010|3011,Train|Bus
Cronulla Station,223020,151.1515424,-34.05625171,Coach1351,02 9522 1245,"Cronulla St, Cronulla",2002|2003|2004|2005|2006|2015|2008|2009|2010|2011|2013,3001|3006|3009|3011,Train|Bus|Ferry|Taxi rank
Croydon Station,213210,151.1154882,-33.88323425,Coach1208,02 9752 8529,"Meta St, Croydon",2004|2005|2006|2015|2008|2011|2013,3003|3008|3009|3010|3011,Train
Dapto Station,253020,150.7923283,-34.49209044,Coach1425,02 4223 5544,"Station St, Dapto",2001|2002|2003|2004|2005|2006|2015|2008|2009|2011,3003|3004|3009|3010|3011,Train|Bus|Taxi rank
Denistone Station,211410,151.0875503,-33.79990618,Coach1200,02 9752 8461,"West Pde, Denistone",2003|2004|2006|2015|2008,3008|3009|3010|3011,Train
Domestic Airport Station,202020,151.1807857,-33.93365963,Coach1331,02 8337 8450,"Keith Smith Ave, Domestic Airport, Mascot",2004|2005|2006|2015|2008|2009|2010|2011|2013,3001|3002|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Doonside Station,276710,150.8683521,-33.76398502,Coach1246,02 9851 7218,"Doonside Cr, Doonside",2002|2003|2004|2005|2006|2015|2008|2013,3003|3008|3009|3010|3011,Train|Bus|Taxi rank
Dora Creek Station,226420,151.5011621,-33.08318747,Coach1149,02 4349 9241,"Wamsley St, Dora Creek",2003|2004|2017,3008|3010|3011|3017,Train|Bus
Douglas Park Station,256910,150.7099378,-34.18322665,Coach1300,02 4677 1402,"Camden Rd, Douglas Park",2003|2004|2006|2017,3004|3010|3011|3015,Train
Dulwich Hill Station,220310,151.1409894,-33.91110223,Coach1393,02 9563 7595,"Wardell Rd, Dulwich Hill",2003|2004|2005|2006|2015|2008|2009|2010,3008|3010|3011,Train|Bus|Light Rail
Dundas Station,211720,151.0331967,-33.80389397,Coach1224,02 9637 1520,"Station St, Dundas",2003|2004|2005|2006|2017|2009,3001|3003|3004|3009|3011,Train|Bus
Dungog Station,242010,151.7595395,-32.4022901,Coach1186,02 4992 3178,"Brown St, Dungog",2003|2004|2005|2006|2017|2008,3001|3004|3006|3008|3011,Train|Bus
East Hills Station,221320,150.9848973,-33.96160677,Coach1419,02 9563 7774,"Park Rd, East Hills",2001|2002|2003|2004|2005|2006|2015|2008|2009,3003|3006|3008|3009|3010|3011,Train|Bus
East Maitland Station,232330,151.5874213,-32.74487523,Coach1176,02 4933 7256,"Melbourne St, East Maitland",2003|2004|2017|2008,3008|3010|3011,Train
East Richmond Station,275310,150.759234,-33.60179614,Coach1244,02 9851 7248,"Bourke St, East Richmond",2002|2004|2005|2017|2008|2011|2013,3001|3003|3004|3006|3009|3011,Train|Bus
Eastwood Station,212210,151.0822335,-33.7900214,Coach1199,02 9752 8493,"West Pde, Eastwood",2002|2003|2004|2005|2006|2015|2008|2009|2010|2011|2013,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Edgecliff Station,202710,151.2361614,-33.87925148,Coach1108,02 9379 4652,"New South Head Rd, Edgecliff",2004|2005|2006|2015|2008|2012|2013,3002|3003|3006|3008|3010|3011,Train|Bus|Taxi rank
Edmondson Park Station,217426,150.8587,-33.9693,Coach1447,02 9765 1451 ,"Soldiers Pde, Edmondson Park",2002|2003|2004|2005|2006|2015|2008|2009|2011|2013,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Emu Plains Station,275020,150.6722867,-33.74556778,Coach1253,02 4735 2506,"Station St, Emu Plains",2001|2002|2003|2004|2005|2006|2015|2008|2009|2011|2013,3001|3003|3005|3006|3008|3009|3011|3017,Train|Bus
Engadine Station,223310,151.0146529,-34.06789901,Coach1353,02 9522 1224,"Princes Hwy, Engadine",2001|2002|2003|2004|2005|2006|2015|2008|2009|2010|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Epping Station,212110,151.0821766,-33.77284145,Coach1429,02 8878 4100,"Beecroft Rd, Epping",2001|2002|2003|2004|2005|2006|2015|2008|2009|2010|2012|2013,3001|3002|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Erskineville Station,204310,151.1853076,-33.9008581,Coach1324,02 9563 7579,"Swanson St, Erskineville",2004|2005|2006|2015|2008|2011|2013,3003|3008|3010|3011,Train|Bus
Exeter Station,257930,150.3173447,-34.61377487,Coach1309,02 4868 1115,"Middle Rd, Exeter",2004|2017|2008|2009,3004|3010|3011|3015,Train|Bus
Fairfield Station,216510,150.9570711,-33.87233065,Coach1285,02 9765 1641,"The Crescent, Fairfield",2002|2003|2004|2005|2006|2015|2008|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Fairy Meadow Station,251910,150.8961702,-34.39583411,Coach1370,02 4223 5852,"Elliots Rd, Fairy Meadow",2001|2002|2003|2004|2005|2006|2017|2008|2009,3004|3008|3009|3010|3011,Train|Taxi rank
Fassifern Station,228330,151.5812509,-32.9857882,Coach1151,02 4985 7209,"Tucker Close, Fassifern",2002|2003|2004|2005|2006|2015|2008|2009|2010,3001|3003|3005|3008|3009|3011,Train|Bus
Faulconbridge Station,277610,150.5350339,-33.69648835,Coach1260,02 4780 3906,"Great Western Hwy, Faulconbridge",2003|2004|2005|2017|2008|2009,3003|3008|3010|3011|3017,Train|Bus
Flemington Station,214020,151.0697665,-33.86482229,Coach1217,02 9752 8477,"The Crescent, Flemington",2004|2005|2006|2015|2008,3003|3008|3010|3011,Train|Bus|Taxi rank
Gerringong Station,253420,150.8175078,-34.74488594,Coach1387,02 4234 1422,"Grey St, Gerringong",2002|2003|2004|2006|2017|2008|2009|2010,3001|3009|3011,Train|Taxi rank
Glenbrook Station,277310,150.6208342,-33.76900437,Coach1255,02 4739 1753,"Burfitt Pde, Glenbrook",2001|2002|2003|2004|2005|2006|2015|2008,3003|3008|3010|3011|3017,Train|Bus
Glenfield Station,216710,150.8928072,-33.97236827,Coach1291,02 9765 1162,"Railway Pde, Glenfield",2001|2002|2003|2004|2005|2006|2015|2008|2009|2010|2011|2013,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Gordon Station,207210,151.154528,-33.75600864,Coach1121,02 9847 8458,"St Johns Ave, Gordon",2002|2003|2004|2005|2006|2015|2008|2009|2010|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Gosford Station,225040,151.3417109,-33.42388261,Coach1139,02 4349 9260,"Mann St, Gosford",2001|2002|2003|2004|2005|2006|2015|2008|2009|2010|2011|2013,3001|3003|3005|3008|3009|3011,Train|Bus|Taxi rank
Goulburn Station,258010,149.7192744,-34.75846191,Coach1315,02 4828 5816,"Sloane St, Goulburn",2003|2004|2005|2006|2017|2008|2011,3008|3010|3011,Train|Bus|Taxi rank
Granville Station,214240,151.0124947,-33.83317598,Coach1227,02 9848 9388,"Bridge St, Granville",2001|2002|2003|2004|2005|2006|2015|2008|2009|2010|2011|2013,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Green Square Station,201710,151.2024745,-33.90606259,Coach1329,02 8337 8430,"Cnr Botany Rd & O'Riordan St, Alexandria",2004|2005|2006|2015|2008|2010|2011|2013,3001|3002|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Greta Station,233410,151.3840895,-32.68662215,Coach1188,02 6543 1018,"Nelson St, Greta",2004|2017,3008|3010|3011|3020,Train
Guildford Station,216110,150.984361,-33.8545057,Coach1283,02 9848 9287,"Military Rd, Guildford",2002|2003|2004|2005|2015|2008|2009|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Gymea Station,222710,151.0854766,-34.03489294,Coach1347,02 9522 1288,"Gymea Bay Rd, South Gymea",2003|2004|2005|2006|2015|2008|2009|2010|2011,3001|3003|3005|3008|3009|3011,Train|Bus|Taxi rank
Hamilton Station,230310,151.7488722,-32.91871348,Coach1161,02 4962 9365,"Beaumont St, Hamilton",2004|2005|2006|2015|2008,3001|3003|3004|3008|3009|3011|3017,Train|Bus|Taxi rank
Harris Park Station,215010,151.0076387,-33.82326002,Coach1228,02 9848 9386,"Station St, Harris Park",2004|2005|2006|2015|2008|2011|2013,3003|3008|3010|3011,Train
Hawkesbury River Station,208310,151.2265104,-33.54678835,Coach1133,02 9985 7224,"Dangar Rd, Brooklyn",2004|2005|2017|2008,3003|3008|3009|3010|3011,Train|Bus|Ferry
Hazelbrook Station,277910,150.4546038,-33.72397351,Coach1263,02 4780 3913,"Railway Pde, Hazelbrook",2001|2003|2004|2006|2015|2008|2009|2010,3003|3008|3010|3011|3017,Train|Bus|Taxi rank
Heathcote Station,223320,151.0080024,-34.08823661,Coach1354,02 9522 1221,"Princes Hwy, Heathcote",2002|2003|2004|2005|2006|2015|2008|2009|2010,3003|3006|3009|3010|3011,Train|Taxi rank
Helensburgh Station,250810,150.9948249,-34.17686988,Coach1356,02 4223 5864,"Wilsons Creek Rd, Helensburgh",2001|2002|2003|2004|2005|2006|2015|2008|2009|2011|2013,3001|3003|3005|3008|3009|3011|3017,Train|Bus|Taxi rank
Hexham Station,232210,151.6844171,-32.82947029,Coach1170,02 4962 9944,"Pacific Hwy, Hexham",2003|2004|2017,3008|3010|3011|3020,Train
High Street Station,232010,151.5636893,-32.741449,Coach1177,02 4933 7902,"High St, Maitland",2003|2004|2005|2017,3008|3010|3011,Train|Bus
Hilldale Station,242040,151.6497678,-32.50450378,Coach1183,02 6543 1018,"Paterson Rd, Hilldale",2003|2004|2017,3010|3011|3020,Train
Holsworthy Station,217310,150.9568946,-33.96320957,Coach1420,02 9765 1166,"Macarthur Dr, Holsworthy",2001|2002|2003|2004|2005|2006|2015|2008|2009|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Homebush Station,214010,151.0864413,-33.86673988,Coach1216,02 9752 8882,"The Crescent, Homebush",2004|2005|2006|2015|2008|2009,3003|3008|3010|3011,Train|Bus|Taxi rank
Hornsby Station,207720,151.098494,-33.70280124,Coach1127,02 9847 8428,"Station St, Hornsby",2001|2002|2003|2004|2005|2006|2015|2008|2009|2012,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Hurlstone Park Station,219310,151.1320925,-33.91042225,Coach1394,02 9563 7544,"Floss St, Hurlstone Park",2003|2004|2005|2006|2015|2008|2009,3003|3008|3010|3011,Train|Bus
Hurstville Station,222010,151.1027571,-33.96745356,Coach1339,02 9563 7568,"Ormonde Pde, Hurstville",2002|2004|2005|2006|2015|2008|2011,3001|3002|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Ingleburn Station,256510,150.8649205,-33.9970797,Coach1293,02 4629 0845,"Stanley Rd, Ingleburn",2001|2002|2003|2004|2005|2006|2015|2008|2009|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
International Airport Station,202030,151.1658913,-33.93498823,Coach1332,02 8337 8460,"Qantas Dr, International Airport, Mascot",2004|2005|2006|2015|2008|2009|2010|2011|2013,3001|3002|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Jannali Station,222620,151.0646645,-34.01612866,Coach1344,02 9522 1283,"Cnr Jannali Ave & Mitchell Ave, Jannali",2001|2002|2003|2004|2005|2006|2015|2008|2009|2010,3003|3008|3009|3010|3011,Train|Bus|Taxi rank
Katoomba Station,278020,150.3111602,-33.71157344,Coach1268,02 4782 1902,"Goldsmith Pl, Katoomba",2001|2002|2003|2004|2005|2006|2015|2008|2009|2010|2011|2013,3001|3003|3005|3008|3009|3011,Train|Bus|Taxi rank
Kembla Grange Station,253010,150.8173407,-34.47021836,Coach1379,02 4223 5488,"Grange St, Kembla Grange",2003|2004|2005|2006|2017,3010|3011|3016,Train
Kiama Station,253330,150.8546947,-34.67251778,Coach1386,02 4223 5613,"Railway Pde, Kiama",2001|2002|2003|2004|2005|2006|2015|2008|2009|2010|2011|2013,3001|3003|3005|3008|3009|3011,Train|Bus|Taxi rank
Killara Station,207110,151.1616474,-33.76540899,Coach1120,02 9847 8440,"Culworth Ave, Killara",2003|2004|2005|2006|2015|2008|2009,3003|3008|3010|3011,Train|Bus
Kings Cross Station,201110,151.2223342,-33.87454091,Coach1107,02 9379 1204,"Victoria St, Kings Cross",2004|2005|2006|2015,3001|3002|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Kingsgrove Station,220810,151.Light Rail839,-33.94063602,Coach1412,02 9563 7623,"Mashman Ave, Kingsgrove",2001|2002|2003|2004|2005|2006|2015|2008|2012,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Kingswood Station,274720,150.7198236,-33.7582512,Coach1251,02 4780 3814,"Great Western Hwy, Kingswood",2001|2002|2003|2004|2005|2015|2008|2009|2011|2013,3003|3006|3008|3010|3011,Train|Bus|Taxi rank
Kirrawee Station,223230,151.0713153,-34.03501535,Coach1346,02 9522 1281,"Oak Rd, Kirrawee",2004|2005|2006|2015|2008|2010|2011,3001|3003|3005|3006|3008|3009|3011,Train|Taxi rank
Kogarah Station,221710,151.1326415,-33.96214931,Coach1336,02 9563 7273,"Railway Pde, Kogarah",2001|2002|2003|2004|2005|2006|2015|2008|2009|2011,3001|3002|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Koolewong Station,225620,151.318655,-33.46697442,Coach1136,02 4349 9230,"Brisbane Water Dr, Koolewong",2003|2004|2005|2006|2017|2008|2011,3004|3010|3011|3014,Train|Bus
Kotara Station,228910,151.6984933,-32.94139627,Coach1158,02 4962 9437,"Park Ave, Kotara",2004|2017,3008|3010|3011|3016,Train|Bus
Lakemba Station,219510,151.0759555,-33.92012699,Coach1398,02 9563 7549,"The Boulevarde, Lakemba",2003|2004|2005|2006|2015|2008|2009|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
